Country/Region,Province/State,,New Confirmed Rolling,New Deaths Rolling
Afghanistan,Afghanistan,0,,
Afghanistan,Afghanistan,1,,
Afghanistan,Afghanistan,2,,
Afghanistan,Afghanistan,3,,
Afghanistan,Afghanistan,4,,
Afghanistan,Afghanistan,5,,
Afghanistan,Afghanistan,6,0.0,0.0
Afghanistan,Afghanistan,7,0.0,0.0
Afghanistan,Afghanistan,8,0.0,0.0
Afghanistan,Afghanistan,9,0.0,0.0
Afghanistan,Afghanistan,10,0.0,0.0
Afghanistan,Afghanistan,11,0.0,0.0
Afghanistan,Afghanistan,12,0.0,0.0
Afghanistan,Afghanistan,13,0.0,0.0
Afghanistan,Afghanistan,14,0.0,0.0
Afghanistan,Afghanistan,15,0.0,0.0
Afghanistan,Afghanistan,16,0.0,0.0
Afghanistan,Afghanistan,17,0.0,0.0
Afghanistan,Afghanistan,18,0.0,0.0
Afghanistan,Afghanistan,19,0.0,0.0
Afghanistan,Afghanistan,20,0.0,0.0
Afghanistan,Afghanistan,21,0.0,0.0
Afghanistan,Afghanistan,22,0.0,0.0
Afghanistan,Afghanistan,23,0.0,0.0
Afghanistan,Afghanistan,24,0.0,0.0
Afghanistan,Afghanistan,25,0.0,0.0
Afghanistan,Afghanistan,26,0.0,0.0
Afghanistan,Afghanistan,27,0.0,0.0
Afghanistan,Afghanistan,28,0.0,0.0
Afghanistan,Afghanistan,29,0.0,0.0
Afghanistan,Afghanistan,30,0.0,0.0
Afghanistan,Afghanistan,31,0.0,0.0
Afghanistan,Afghanistan,32,0.0,0.0
Afghanistan,Afghanistan,33,0.14285714285714285,0.0
Afghanistan,Afghanistan,34,0.14285714285714285,0.0
Afghanistan,Afghanistan,35,0.14285714285714285,0.0
Afghanistan,Afghanistan,36,0.14285714285714285,0.0
Afghanistan,Afghanistan,37,0.14285714285714285,0.0
Afghanistan,Afghanistan,38,0.14285714285714285,0.0
Afghanistan,Afghanistan,39,0.14285714285714285,0.0
Afghanistan,Afghanistan,40,0.0,0.0
Afghanistan,Afghanistan,41,0.0,0.0
Afghanistan,Afghanistan,42,0.0,0.0
Afghanistan,Afghanistan,43,0.0,0.0
Afghanistan,Afghanistan,44,0.0,0.0
Afghanistan,Afghanistan,45,0.0,0.0
Afghanistan,Afghanistan,46,0.42857142857142855,0.0
Afghanistan,Afghanistan,47,0.42857142857142855,0.0
Afghanistan,Afghanistan,48,0.5714285714285714,0.0
Afghanistan,Afghanistan,49,0.8571428571428571,0.0
Afghanistan,Afghanistan,50,0.8571428571428571,0.0
Afghanistan,Afghanistan,51,0.8571428571428571,0.0
Afghanistan,Afghanistan,52,1.4285714285714286,0.0
Afghanistan,Afghanistan,53,1.7142857142857142,0.0
Afghanistan,Afghanistan,54,2.4285714285714284,0.0
Afghanistan,Afghanistan,55,2.4285714285714284,0.0
Afghanistan,Afghanistan,56,2.142857142857143,0.0
Afghanistan,Afghanistan,57,2.142857142857143,0.0
Afghanistan,Afghanistan,58,2.4285714285714284,0.0
Afghanistan,Afghanistan,59,1.8571428571428572,0.0
Afghanistan,Afghanistan,60,3.4285714285714284,0.14285714285714285
Afghanistan,Afghanistan,61,2.7142857142857144,0.14285714285714285
Afghanistan,Afghanistan,62,7.428571428571429,0.14285714285714285
Afghanistan,Afghanistan,63,8.857142857142858,0.2857142857142857
Afghanistan,Afghanistan,64,10.285714285714286,0.5714285714285714
Afghanistan,Afghanistan,65,12.285714285714286,0.5714285714285714
Afghanistan,Afghanistan,66,12.285714285714286,0.5714285714285714
Afghanistan,Afghanistan,67,11.428571428571429,0.42857142857142855
Afghanistan,Afghanistan,68,18.571428571428573,0.42857142857142855
Afghanistan,Afghanistan,69,14.285714285714286,0.42857142857142855
Afghanistan,Afghanistan,70,21.857142857142858,0.2857142857142857
Afghanistan,Afghanistan,71,25.571428571428573,0.2857142857142857
Afghanistan,Afghanistan,72,24.428571428571427,0.2857142857142857
Afghanistan,Afghanistan,73,27.0,0.42857142857142855
Afghanistan,Afghanistan,74,32.714285714285715,0.42857142857142855
Afghanistan,Afghanistan,75,28.142857142857142,1.0
Afghanistan,Afghanistan,76,35.57142857142857,1.4285714285714286
Afghanistan,Afghanistan,77,29.571428571428573,1.4285714285714286
Afghanistan,Afghanistan,78,30.142857142857142,1.2857142857142858
Afghanistan,Afghanistan,79,34.285714285714285,1.2857142857142858
Afghanistan,Afghanistan,80,36.57142857142857,1.5714285714285714
Afghanistan,Afghanistan,81,36.857142857142854,1.5714285714285714
Afghanistan,Afghanistan,82,42.57142857142857,1.4285714285714286
Afghanistan,Afghanistan,83,41.57142857142857,1.2857142857142858
Afghanistan,Afghanistan,84,48.57142857142857,1.5714285714285714
Afghanistan,Afghanistan,85,50.857142857142854,2.142857142857143
Afghanistan,Afghanistan,86,55.0,2.142857142857143
Afghanistan,Afghanistan,87,54.0,1.7142857142857142
Afghanistan,Afghanistan,88,55.57142857142857,2.142857142857143
Afghanistan,Afghanistan,89,51.57142857142857,2.142857142857143
Afghanistan,Afghanistan,90,54.0,1.8571428571428572
Afghanistan,Afghanistan,91,56.0,2.142857142857143
Afghanistan,Afghanistan,92,62.714285714285715,1.7142857142857142
Afghanistan,Afghanistan,93,63.57142857142857,1.8571428571428572
Afghanistan,Afghanistan,94,75.71428571428571,2.4285714285714284
Afghanistan,Afghanistan,95,76.42857142857143,2.4285714285714284
Afghanistan,Afghanistan,96,96.71428571428571,3.0
Afghanistan,Afghanistan,97,105.14285714285714,3.142857142857143
Afghanistan,Afghanistan,98,109.0,2.857142857142857
Afghanistan,Afghanistan,99,127.42857142857143,3.142857142857143
Afghanistan,Afghanistan,100,140.57142857142858,3.5714285714285716
Afghanistan,Afghanistan,101,143.71428571428572,3.5714285714285716
Afghanistan,Afghanistan,102,167.57142857142858,5.0
Afghanistan,Afghanistan,103,170.14285714285714,4.714285714285714
Afghanistan,Afghanistan,104,199.42857142857142,5.285714285714286
Afghanistan,Afghanistan,105,207.57142857142858,6.285714285714286
Afghanistan,Afghanistan,106,198.85714285714286,6.0
Afghanistan,Afghanistan,107,206.14285714285714,5.857142857142857
Afghanistan,Afghanistan,108,223.42857142857142,6.142857142857143
Afghanistan,Afghanistan,109,242.57142857142858,5.0
Afghanistan,Afghanistan,110,256.14285714285717,4.571428571428571
Afghanistan,Afghanistan,111,248.42857142857142,4.571428571428571
Afghanistan,Afghanistan,112,262.0,4.0
Afghanistan,Afghanistan,113,296.57142857142856,4.285714285714286
Afghanistan,Afghanistan,114,325.0,6.285714285714286
Afghanistan,Afghanistan,115,338.42857142857144,7.571428571428571
Afghanistan,Afghanistan,116,323.14285714285717,7.0
Afghanistan,Afghanistan,117,340.7142857142857,7.285714285714286
Afghanistan,Afghanistan,118,384.2857142857143,7.285714285714286
Afghanistan,Afghanistan,119,417.0,7.857142857142857
Afghanistan,Afghanistan,120,433.85714285714283,8.142857142857142
Afghanistan,Afghanistan,121,451.85714285714283,7.428571428571429
Afghanistan,Afghanistan,122,513.7142857142857,6.857142857142857
Afghanistan,Afghanistan,123,559.7142857142857,7.0
Afghanistan,Afghanistan,124,585.8571428571429,6.571428571428571
Afghanistan,Afghanistan,125,596.8571428571429,6.0
Afghanistan,Afghanistan,126,615.8571428571429,5.714285714285714
Afghanistan,Afghanistan,127,622.8571428571429,6.0
Afghanistan,Afghanistan,128,634.7142857142857,5.857142857142857
Afghanistan,Afghanistan,129,646.7142857142857,4.714285714285714
Afghanistan,Afghanistan,130,660.4285714285714,5.571428571428571
Afghanistan,Afghanistan,131,653.8571428571429,6.571428571428571
